timestamp,T111,T2,T3,T4,T5,T6,T7,T8
2024-08-15 02:58:30,20.4,26.3,25.7,24.8,24.2,24.7,25.3,25.9
2024-08-15 02:58:31,20.4,26.2,25.7,24.9,24.2,24.7,25.3,25.9
