timestamp,Nate,wuz,heer,T4,T5,T6,T7,T8
2024-08-04 12:40:23,20.6,27.8,27.3,26.5,24.5,25.1,25.7,26.3
2024-08-04 12:40:24,20.5,27.8,27.3,26.4,24.5,25.1,25.7,26.3
2024-08-04 12:40:25,20.6,27.8,27.3,26.4,24.5,25.1,25.7,26.3
2024-08-04 12:40:26,20.6,27.8,27.3,26.4,24.6,25.1,25.7,26.3
