timestamp,Tttt,T2,T3,T4,T5,T6,T7,T_ate
2024-08-17 12:59:23,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.4
2024-08-17 12:59:24,19.0,26.7,26.4,26.0,25.6,25.6,25.6,25.4
2024-08-17 12:59:24,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.5
2024-08-17 12:59:24,19.0,26.7,26.4,26.0,25.6,25.6,25.6,25.4
2024-08-17 12:59:25,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.4
2024-08-17 12:59:25,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.4
2024-08-17 12:59:26,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.4
2024-08-17 12:59:26,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.5
2024-08-17 12:59:26,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.5
2024-08-17 12:59:27,19.0,26.7,26.4,26.0,25.6,25.6,25.6,25.5
2024-08-17 12:59:27,19.0,26.7,26.5,26.0,25.6,25.6,25.6,25.5
2024-08-17 12:59:28,19.0,26.7,26.4,26.0,25.6,25.6,25.6,25.5
2024-08-17 12:59:28,19.0,26.7,26.4,26.0,25.6,25.7,25.6,25.5
2024-08-17 12:59:28,19.0,26.7,26.4,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:29,19.0,26.7,26.5,26.0,25.6,25.7,25.6,25.5
2024-08-17 12:59:29,19.0,26.7,26.4,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:30,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:30,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:30,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:31,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:31,19.0,26.7,26.4,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:32,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:32,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:32,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
2024-08-17 12:59:33,19.0,26.7,26.5,26.0,25.6,25.7,25.7,25.5
